1 input_test.asc  Three-stage rocket ascent ' SLV1 ' Oct 14 2018 11:06:30
  0  0 90
time            vmach           pdynmc          psibdx          thtbdx          
phibdx          alppx           phipx           alphax          betax           
ppx             qqx             rrx             lonx            latx            
alt             dvbe            dvbi            psivdx          thtvdx          
grndtrck        ayx             anx             gndtrnmx        vmass           
xcg             fmasse          thrust          fmassr          dead_zone       
roll_count      pitch_count     yaw_count       stmarg_yaw      stmarg_pitch    
realp1          wnp             zetp            realy1          wny             
zety            gnmax           gymax           alphacx         betacx          
phibdcx         thtbdcx         psibdcx         RICI1           RICI2           
RICI3           ESBI1           ESBI2           ESBI3           UTBC1           
UTBC2           UTBC3           lamd            waclp           zaclp           
paclp           alcomx_actual   ancomx_actual   wacly           alcomx          
ancomx          wnact           delax           delex           delrx           
modes           ucbias_error    ucfreq_error    SXH1            SXH2            
SXH3            VXH1            VXH2            VXH3            CXH1            
CXH2            CXH3            std_pos         std_vel         std_ucbias      
URIC1           URIC2           URIC3           etax            zetx            
0.515083        0               -1.26693        1.59751         -0.0353426      
-0.124601       -1.09541        0.136396        -120.493        34.6803         
1304            229.034         399.574         -82.587         76.8903         
252.834         0.000139688     -0.0133945      0.136519        43327.6         
9.84597         5656.39         1.40763e+06     25518.6         0.4             
19              82              57              -2.20898        -2.20898        
1.23196         0               0               1.23196         0               
0               0.281496        0.281496        1.6019          -0.0495239      
0.507475        78.4979         -82.3655        0.000138282     0.000153979     
3.53174e-05     -4.96836        0.973183        -9.73079        0               
0               0               0               0.212042        1               
0.824084        0               -0.15           0.212042        0               
-0.15           0               0               0               0               
533             0.14755         0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               -0.23166        0.00241595      
11.5            0.716955        30736.9         -82.0615        78.0767         
0.71665         0               -3.99521        1.36299         -0.0952303      
-0.274136       -0.951794       0.132317        -120.493        34.6803         
1418.19         240.157         403.013         -82.5494        76.7128         
279.62          2.24005e-05     0.00337696      0.150983        43070.6         
9.81489         5913.44         1.40763e+06     25261.6         0.4             
19              82              57              -2.19297        -2.19297        
1.28475         0               0               1.28475         0               
0               0.310778        0.310778        1.36742         -0.109666       
0.710375        78.0853         -82.0581        0.000137262     0.000154407     
3.53159e-05     -4.95225        0.975291        -9.77408        0               
0               0               0               0.230527        1               
0.861054        0               -0.15           0.230527        0               
-0.15           0               0               0               0               
533             0.14755         0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0.0580586       0.000385121     
12              0.751267        33258.7         -81.791         77.5002         
0.807305        0               -8.82326        0.974544        -0.151332       
-0.424643       -1.34295        0.127431        -120.493        34.6804         
1537.72         251.295         406.633         -82.4986        76.5249         
308.052         1.90149e-05     0.00267916      0.166335        42813.5         
9.7838          6170.49         1.40763e+06     25004.5         0.4             
19              82              57              -2.17696        -2.17696        
1.33665         0               0               1.33665         0               
0               0.341485        0.341485        0.978974        -0.166044       
0.80205         77.5088         -81.7869        0.000136019     0.000155063     
3.51827e-05     -4.93503        0.977834        -9.82026        0               
0               0               0               0.24944         1               
0.898881        0               -0.15           0.24944         0               
-0.15           0               0               0               0               
533             0.14755         0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0.0457867       0.000324964     
12.5            0.78575         35828           -81.5572        76.7312         
0.786083        0               -25.8789        0.417814        -0.202773       
-0.576132       -1.74727        0.124583        -120.494        34.6804         
1662.56         262.441         410.362         -82.4374        76.3124         
338.208         3.07029e-05     0.00301619      0.182618        42556.5         
9.75272         6427.54         1.40763e+06     24747.5         0.4             
19              82              57              -2.16095        -2.16095        
1.38756         0               0               1.38756         0               
0               0.373563        0.373563        0.422216        -0.217794       
0.781742        76.7397         -81.5522        0.000134527     0.000155985     
3.48876e-05     -4.91671        0.98078         -9.86934        0               
0               0               0               0.26871         1               
0.93742         0               -0.15           0.26871         0               
-0.15           0               0               0               0               
533             0.14755         0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0.051237        0.00052156      
13              0.820365        38432.8         -81.3525        75.7475         
0.679757        0               180             -0.32084        -0.2485         
-0.616444       -2.20688        0.118049        -120.494        34.6804         
1792.7          273.579         414.142         -82.3677        76.0666         
370.191         -5.7679e-05     0.00369215      0.199887        42299.4         
9.72163         6684.59         1.40763e+06     24490.4         0.4             
20              82              57              -2.19085        -2.19085        
1.44416         0               0               1.44416         0               
0               0.406433        0.406433        -0.316491       -0.263868       
0.676258        75.756          -81.3467        0.000132775     0.000157198     
3.43991e-05     -4.89729        0.984088        -9.92136        0               
0               0               0               0.288246        1               
0.976493        0               -0.15           0.288246        0               
-0.15           0               0               0               0               
533             0.14755         0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0.062341        -0.000973894    
13.5            0.855006        41054.3         -81.1723        74.5086         
0.545894        0               180             -1.27357        -0.287337       
-0.616444       -2.77047        0.119797        -120.494        34.6805         
1928.07         284.673         417.901         -82.2916        75.7791         
404.129         -0.000100256    0.00427229      0.218212        42042.4         
9.69055         6941.64         1.40763e+06     24233.4         0.4             
