1 insat2: 1 missile vs 2 target with 2 passive satellites  ' Missile_c1 ' Mar  5 2016 14:33:23
  0  0 47
time            FSPV1           FSPV2           FSPV3           pdynmc          
mach            lonx            latx            alt             dvbe            
psivgx          thtvgx          SBEG1           SBEG2           SBEG3           
VBEG1           VBEG2           VBEG3           mprop           cg              
thrust          cl_ov_cd        psivgcx         thtvgcx         anx             
avx             alphax          phimvx          phicx           phix            
qq              tip             alp             ancomx          alcomx          
alx             altd            altcom          wp_grdrange     wp_flag         
range_go        STBG1           STBG2           STBG3           time_go         
psisbx          thtsbx          
0.0314          2.06195         0.0671532       0.999548        -0.0015265      
-0.0030088      -49.9955        7000            10551.3         0               
0               0               0               0               0               
0               0               
35              -0.83227        -0.0300692      -9.76468        16026.6         
0.821471        14.7863         35.4001         8328.43         251.965         
90.0199         -11.4441        6.72564         7814.65         1671.57         
-0.0856242      246.955         49.9925         5               135.447         
235.367         8.74538         90              0               1.00043         
0               3.78038         -0.176618       -0.178265       -0.176618       
0.0312827       2.03613         0.0659801       0.999243        -0.00155788     
-0.00307013     -49.9925        7000            10305.2         0               
0               0               0               0               0               
0               0               
36              -0.846727       -0.0306897      -9.76099        16262.2         
0.824474        14.789          35.4001         8278.44         253.06          
90.023          -11.3931        6.63308         8062.17         1721.56         
-0.0994166      248.073         49.9894         5               135.446         
233.099         8.6512          90              0               1.00012         
0               3.71566         -0.180332       -0.18203        -0.180332       
0.0311653       2.011           0.0648505       0.998925        -0.00159028     
-0.00313343     -49.9894        7000            10058           0               
0               0               0               0               0               
0               0               
37              -0.8614         -0.03133        -9.7572         16497.5         
0.8274          14.7918         35.4001         8228.45         254.133         
90.0259         -11.3436        6.52695         8310.79         1771.55         
-0.112782       249.168         49.986          5               135.445         
230.84          8.55716         90              0               0.999786        
0               3.65307         -0.184169       -0.185926       -0.184169       
0.0310475       1.98653         0.0637582       0.998579        -0.00162378     
-0.00319876     -49.986         7000            9809.71         0               
0               0               0               0               0               
0               0               
38              -0.876258       -0.031992       -9.75317        16732.5         
0.830247        14.7945         35.4001         8178.47         255.182         
90.0288         -11.2956        6.40767         8560.5          1821.53         
-0.125693       250.239         49.9826         5               135.444         
228.592         8.46344         90              0               0.999429        
0               3.59249         -0.188141       -0.189959       -0.188141       
0.0309327       1.96271         0.0627007       0.998229        -0.00165842     
-0.0032663      -49.9826        7000            9560.33         0               
0               0               0               0               0               
0               0               
39              -0.8913         -0.0326765      -9.74914        16967           
0.833016        14.7973         35.4001         8128.49         256.209         
90.0315         -11.2489        6.27572         8811.26         1871.51         
-0.138118       251.287         49.9793         5               135.443         
226.354         8.37024         90              0               0.999069        
0               3.53392         -0.192248       -0.194126       -0.192248       
0.0308224       1.9395          0.0616785       0.997891        -0.00169419     
-0.00333613     -49.9793        7000            9309.89         0               
0               0               0               0               0               
0               0               
40              -0.906519       -0.0333835      -9.74524        17201.2         
0.835708        14.8001         35.4001         8078.51         257.213         
90.0341         -11.2037        6.13161         9063.07         1921.49         
-0.150027       252.311         49.976          5               135.442         
224.126         8.27779         90              0               0.998721        
0               3.47733         -0.196488       -0.198426       -0.196488       
0.0307153       1.9169          0.0606909       0.99756         -0.00173111     
-0.00340826     -49.976         7000            9058.41         0               
0               0               0               0               0               
0               0               
41              -0.92189        -0.0341131      -9.74142        17434.8         
0.838323        14.8028         35.4001         8028.54         258.194         
90.0365         -11.1599        5.97585         9315.88         1971.46         
-0.161391       253.312         49.9728         5               135.441         
221.91          8.18621         90              0               0.998379        
0               3.42262         -0.200863       -0.202863       -0.200863       
0.0306103       1.89489         0.059736        0.997226        -0.00176922     
-0.00348269     -49.9728        7000            8805.91         0               
0               0               0               0               0               
0               0               
42              -0.937387       -0.034866       -9.7376         17667.8         
0.840861        14.8056         35.4001         7978.56         259.153         
90.0388         -11.1173        5.80902         9569.68         2021.44         
-0.172179       254.29          49.9695         5               135.44          
219.704         8.09564         90              0               0.998035        
0               3.36967         -0.205379       -0.207444       -0.205379       
0.0305074       1.87345         0.0588119       0.996889        -0.00180854     
-0.00355951     -49.9695        7000            8552.43         0               
0               0               0               0               0               
0               0               
43              -0.952992       -0.0356431      -9.73378        17900.2         
0.843323        14.8084         35.4001         7928.6          260.089         
90.0409         -11.0761        5.6317          9824.45         2071.4          
-0.18236        255.244         49.9662         5               135.439         
217.51          8.00618         90              0               0.997689        
0               3.31841         -0.210041       -0.212173       -0.210041       
0.0304071       1.85255         0.0579172       0.996554        -0.00184913     
-0.00363878     -49.9662        7000            8297.98         0               
0               0               0               0               0               
0               0               
44              -0.96869        -0.036445       -9.72999        18131.9         
0.84571         14.8113         35.4            7878.63         261.003         
90.0429         -11.0361        5.44451         10080.2         2121.37         
-0.191902       256.176         49.9629         5               135.438         
215.327         7.91795         90              0               0.997345        
0               3.26879         -0.214852       -0.217052       -0.214852       
0.0303093       1.83219         0.0570511       0.996221        -0.001891       
-0.00372059     -49.9629        7000            8042.58         0               
0               0               0               0               0               
0               0               
45              -0.984465       -0.0372725      -9.72626        18362.8         
0.848021        14.8141         35.4            7828.67         261.894         
90.0447         -10.9973        5.24812         10336.8         2171.33         
-0.200773       257.084         49.9597         5               135.437         
213.157         7.83104         90              0               0.997003        
0               3.22073         -0.219817       -0.222086       -0.219817       
0.0302138       1.81235         0.0562124       0.995891        -0.0019342      
-0.003805       -49.9597        7000            7786.26         0               
0               0               0               0               0               
0               0               
46              -1.00253        -0.0380935      -9.71384        18593           
0.850258        14.8169         35.4            7778.71         262.763         
90.0464         -10.9599        5.0432          10594.3         2221.29         
-0.208942       257.97          49.957          5               135.436         
211.064         7.72436         90              0               0.995788        
0               3.17447         -0.224964       -0.22749        -0.224964       
0.0301884       1.79393         0.0554049       0.995613        -0.00197885     
-0.00388876     -49.957         7000            7529.05         0               
0               0               0               0               0               
0               0               
47              -1.04079        -0.0390118      -9.68916        18820.7         
0.852383        14.8198         35.4            7728.75         263.597         
90.0479         -10.9293        4.83046         10852.7         2271.25         
-0.216399       258.816         49.9774         5               135.435         
209.474         7.48802         90              0               0.993452        
0               3.15196         -0.230975       -0.233516       -0.230975       
0.030714        1.78278         0.055012        0.997705        -0.0020265      
-0.00398244     -49.9774        7000            7270.97         0               
0               0               0               0               0               
0               0               
48              -1.08118        -0.0399696      -9.71331        19044.3         
0.854361        14.8226         35.4            7678.76         264.387         
90.0492         -10.8976        4.6107          11111.9         2321.24         
-0.222975       259.619         49.9836         5               135.434         
207.884         7.28969         90              0               0.99612         
0               3.14647         -0.236          -0.238096       -0.236          
0.0308755       1.7717          0.0549162       0.99833         -0.0020718      
-0.00408015     -49.9836        7000            7012.06         0               
0               0               0               0               0               
0               0               
49              -1.11855        -0.0408251      -9.7202         19263.5         
0.856192        14.8255         35.4            7628.79         265.132         
90.0503         -10.8622        4.38478         11371.9         2371.21         
-0.228749       260.382         49.9633         5               135.433         
206.294         7.10558         90              0               0.997003        
0               3.13313         -0.24091        -0.243328       -0.24091        
0.0307269       1.76069         0.0546835       0.996264        -0.0021192      
-0.00416742     -49.9633        7000            6752.37         0               
0               0               0               0               0               
0               0               
50              -1.15241        -0.0417418      -9.70189        19478.6         
0.857887        14.8284         35.4            7578.84         265.836         
90.0513         -10.8286        4.15347         11632.7         2421.16         
-0.23373        261.102         49.9431         5               135.432         
204.705         6.9302          90              0               0.995285        
0               3.11025         -0.246828       -0.249695       -0.246828       
0.0306113       1.74975         0.0542841       0.9942          -0.00217091     
-0.00426093     -49.9431        7000            6491.93         0               
0               0               0               0               0               
0               0               
51              -1.18474        -0.0427622      -9.68314        19690           
0.859457        14.8313         35.4            7528.9          266.501         
90.052          -10.7998        3.91762         11894.1         2471.1          
-0.237812       261.781         49.9364         5               135.431         
203.116         6.76955         90              0               0.993511        
0               3.08741         -0.253352       -0.256296       -0.253352       
0.030638        1.73889         0.0538854       0.993523        -0.00222433     
-0.00436502     -49.9364        7000            6230.8          0               
0               0               0               0               0               
0               0               
52              -1.21649        -0.0438174      -9.67632        19897.8         
0.860907        14.8341         35.4            7478.96         267.13          
90.0526         -10.774         3.67817         12156.2         2521.04         
-0.240917       262.421         49.9361         5               135.43          
201.527         6.62643         90              0               0.992952        
0               3.06874         -0.259766       -0.262593       -0.259766       
0.0307013       1.72809         0.0535596       0.993489        -0.0022777      
-0.00447266     -49.9361        7000            5969            0               
0               0               0               0               0               
0               0               
53              -1.24716        -0.0448661      -9.67496        20102.1         
