1 input19_3_3.asc: Ascent frome Cape, glidelsope and seeker intercept Mar 14 2016 14:48:31
  0  0 67
time            vmach_h1        lonx_h1         latx_h1         alt_h1          
dvbe_h1         dvbi_h1         psivdx_h1       thtvdx_h1       SBII1_h1        
SBII2_h1        SBII3_h1        VBII1_h1        VBII2_h1        VBII3_h1        
mseek_h1        dbi_t1          SBII1_t1        SBII2_t1        SBII3_t1        
VBII1_t1        VBII2_t1        VBII3_t1        lonx_t1         latx_t1         
alt_t1          dvbe_t1         psivgx_t1       thtvgx_t1       arg_latx_t1     
SBII1_r1        SBII2_r1        SBII3_r1        VBII1_r1        VBII2_r1        
VBII3_r1        dbi_r1          STCII11_r1      STCII12_r1      STCII13_r1      
VTCII11_r1      VTCII12_r1      VTCII13_r1      STCII21_r1      STCII22_r1      
STCII23_r1      VTCII21_r1      VTCII22_r1      VTCII23_r1      STCII31_r1      
STCII32_r1      STCII33_r1      VTCII31_r1      VTCII32_r1      VTCII33_r1      
STCII41_r1      STCII42_r1      STCII43_r1      VTCII41_r1      VTCII42_r1      
VTCII43_r1      STCII51_r1      STCII52_r1      STCII53_r1      VTCII51_r1      
VTCII52_r1      VTCII53_r1      
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               
190             1.35807         -75.1028        30.6895         6378.19         
427.649         750.879         40.0767         2.89245         1.48615e+06     
-5.2903e+06     3.23972e+06     610.41          325.457         292.055         
0               6.64864e+06     -1.46877e+06    -6.47048e+06    424266          
5255.38         -500.58         5924.28         -103.583        3.68209         
270591          7624.58         38.5873         -2.20487        364.867         
4.64073e+06     -2.08623e+06    3.83416e+06     152.13          338.407         
0               6.37099e+06     -1.46877e+06    -6.47048e+06    424266          
5255.38         -500.58         5924.28         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               
200             1.37859         -75.0739        30.7191         6594.6          
432.874         755.758         40.1428         2.87321         1.49226e+06     
-5.28703e+06    3.24266e+06     612.985         329.053         295.201         
0               6.6457e+06      -1.41612e+06    -6.47505e+06    483479          
5275            -412.55         5918.07         -103.172        4.19867         
267681          7628            38.6238         -2.1695         365.55          
4.64225e+06     -2.08284e+06    3.83416e+06     151.883         338.518         
0               6.37099e+06     -1.41612e+06    -6.47505e+06    483479          
5275            -412.55         5918.07         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               
210             1.39965         -75.0446        30.749          6812.18         
438.222         760.759         40.2098         2.85338         1.49841e+06     
-5.28372e+06    3.24562e+06     615.625         332.731         298.412         
0               6.64281e+06     -1.36327e+06    -6.47873e+06    542625          
5293.93         -324.35         5911.03         -102.76         4.71545         
264816          7631.36         38.6648         -2.13384        366.234         
4.64377e+06     -2.07946e+06    3.83416e+06     151.636         338.629         
0               6.37099e+06     -1.36327e+06    -6.47873e+06    542625          
5293.93         -324.35         5911.03         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               
220             1.42128         -75.0149        30.7793         7030.92         
443.697         765.887         40.2777         2.83298         1.50458e+06     
-5.28038e+06    3.24862e+06     618.333         336.495         301.692         
0               6.63996e+06     -1.31024e+06    -6.48153e+06    601697          
5312.15         -235.992        5903.18         -102.347        5.23236         
261998          7634.67         38.7103         -2.09791        366.919         
4.64528e+06     -2.07607e+06    3.83416e+06     151.389         338.739         
0               6.37099e+06     -1.31024e+06    -6.48153e+06    601697          
5312.15         -235.992        5903.18         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               
230             1.44348         -74.9848        30.81           7250.8          
449.302         771.144         40.3465         2.81203         1.51077e+06     
-5.27699e+06    3.25166e+06     621.11          340.346         305.041         
0               6.63715e+06     -1.25703e+06    -6.48345e+06    660686          
5329.68         -147.491        5894.51         -101.933        5.74937         
259227          7637.92         38.7603         -2.06169        367.605         
4.6468e+06      -2.07268e+06    3.83416e+06     151.142         338.85          
0               6.37099e+06     -1.25703e+06    -6.48345e+06    660686          
5329.68         -147.491        5894.51         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               
240             1.46629         -74.9543        30.841          7471.8          
455.04          776.534         40.4163         2.79054         1.517e+06       
-5.27357e+06    3.25473e+06     623.957         344.287         308.462         
0               6.63439e+06     -1.20365e+06    -6.48448e+06    719584          
5346.5          -58.8596        5885.02         -101.518        6.26644         
256503          7641.12         38.8149         -2.02521        368.291         
4.64831e+06     -2.06929e+06    3.83416e+06     150.895         338.96          
0               6.37099e+06     -1.20365e+06    -6.48448e+06    719584          
5346.5          -58.8596        5885.02         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               
250             1.4897          -74.9233        30.8723         7693.9          
460.916         782.061         40.487          2.76854         1.52325e+06     
-5.27011e+06    3.25783e+06     626.878         348.322         311.955         
0               6.63167e+06     -1.1501e+06     -6.48463e+06    778383          
5362.6          29.8873         5874.7          -101.102        6.78352         
253826          7644.25         38.8742         -1.98847        368.977         
4.64981e+06     -2.0659e+06     3.83416e+06     150.648         339.07          
0               6.37099e+06     -1.1501e+06     -6.48463e+06    778383          
5362.6          29.8873         5874.7          0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               
260             1.51377         -74.8918        30.9041         7917.28         
466.937         787.732         40.5587         2.75528         1.52954e+06     
-5.2666e+06     3.26096e+06     629.892         352.389         315.563         
0               6.62899e+06     -1.0964e+06     -6.48389e+06    837075          
5378            118.736         5863.56         -100.684        7.30058         
